A[0, 1] -> -4
A[1, 0] -> -640
A[1, 1] -> -640
A[2, 0] -> -10032
A[2, 1] -> -72224
A[2, 2] -> -10032
A[3, 0] -> -288384
A[3, 1] -> -7539200
A[3, 2] -> -7539200
A[3, 3] -> -288384
A[4, 0] -> -10979984
A[4, 1] -> -757561520
A[4, 2] -> -2346819520
A[4, 3] -> -757561520
A[4, 4] -> -10979984
A[5, 0] -> -495269504
A[5, 1] -> -74132328704
A[5, 2] -> -520834042880
A[5, 3] -> -520834042880
A[5, 4] -> -74132328704
A[5, 5] -> -495269504
A[6, 0] -> -24945542832
A[6, 1] -> -7117563990784
A[6, 2] -> -95728361673920
A[6, 3] -> -212132862927264
A[6, 4] -> -95728361673920
A[6, 5] -> -7117563990784
A[6, 6] -> -24945542832
A[7, 0] -> -1357991852672
A[7, 1] -> -673634867584000
A[7, 2] -> -15566217930449920
A[7, 3] -> -64241083351008256
A[7, 4] -> -64241083351008256
A[7, 5] -> -15566217930449920
A[7, 6] -> -673634867584000
A[7, 7] -> -1357991852672
A[8, 0] -> -78313183960464
A[8, 1] -> -63044114100112216
A[8, 2] -> -2320662847106724608
A[8, 3] -> -16012749569643119192
A[8, 4] -> -29599825937557806528
A[8, 5] -> -16012749569643119192
A[8, 6] -> -2320662847106724608
A[8, 7] -> -63044114100112216
A[9, 0] -> -4721475965186688
A[9, 1] -> -5847130694264207232
A[9, 2] -> -324147688346480390144
A[9, 3] -> -3472805036147263676928
A[9, 4] -> -10624725581644270718976
A[9, 5] -> -10624725581644270718976
A[9, 6] -> -3472805036147263676928
A[10, 0] -> -294890295345814704
A[10, 1] -> -538285971572685811328
A[10, 2] -> -43029938079969194610912
A[10, 3] -> -678026917299009093716992
A[10, 4] -> -3185522244800485842082432
A[10, 5] -> -5254812398086604700749920
A[11, 0] -> -18955056636616556160
A[11, 1] -> -49246731968442679515648
A[11, 2] -> -5482879869003738887693824
A[11, 3] -> -121889324059502978762657280
A[11, 4] -> -832941124027475492993134592
A[12, 0] -> -1247797360115213603088
A[12, 1] -> -4481661625371818015352928
A[12, 2] -> -675446724685480184637068800
A[12, 3] -> -20497451281534411256145488016
A[13, 0] -> -83809060965117448818304
A[13, 1] -> -405990765744307567973577472
A[13, 2] -> -80885851204151996327378914304
A[14, 0] -> -5726570598682481985185840
A[14, 1] -> -36632312519996518611198894080
A[15, 0] -> -397139071203828631252613760
